"user_id","budget","vis","index","block","response","trial"
"f3e25d87","5000","ensembles",17,"single",0,8
"f3e25d87","5000","ensembles",18,"single",0,16
"f3e25d87","5000","ensembles",19,"single",1,9
"f3e25d87","5000","ensembles",20,"single",1,6
"f3e25d87","5000","ensembles",1,"multiple",0,7
"f3e25d87","5000","ensembles",2,"multiple",0,8
"f3e25d87","5000","ensembles",3,"multiple",1,2
"f3e25d87","5000","ensembles",4,"multiple",0,11
"f3e25d87","5000","ensembles",5,"multiple",0,101
"f3e25d87","5000","ensembles",6,"multiple",1,1
"f3e25d87","5000","ensembles",7,"multiple",0,9
"f3e25d87","5000","ensembles",8,"multiple",1,102
"f3e25d87","5000","ensembles",9,"multiple",0,12
"f3e25d87","5000","ensembles",10,"multiple",1,3
"f3e25d87","5000","ensembles",11,"multiple",1,5
"f3e25d87","5000","ensembles",12,"multiple",0,10
"f3e25d87","5000","ensembles",13,"multiple",1,6
"f3e25d87","5000","ensembles",14,"multiple",1,4
"4b94f79d","7000","pbox",1,"single",0,10
"4b94f79d","7000","pbox",2,"single",1,5
"4b94f79d","7000","pbox",3,"single",0,15
"4b94f79d","7000","pbox",4,"single",0,18
"4b94f79d","7000","pbox",5,"single",0,12
"4b94f79d","7000","pbox",6,"single",1,2
"4b94f79d","7000","pbox",7,"single",0,101
"4b94f79d","7000","pbox",8,"single",1,1
"4b94f79d","7000","pbox",9,"single",1,6
"4b94f79d","7000","pbox",10,"single",1,4
"4b94f79d","7000","pbox",11,"single",1,102
"4b94f79d","7000","pbox",12,"single",0,8
"4b94f79d","7000","pbox",13,"single",0,17
"4b94f79d","7000","pbox",14,"single",0,16
"4b94f79d","7000","pbox",15,"single",0,13
"4b94f79d","7000","pbox",16,"single",0,11
"4b94f79d","7000","pbox",17,"single",0,14
"4b94f79d","7000","pbox",18,"single",1,3
"4b94f79d","7000","pbox",19,"single",0,9
"4b94f79d","7000","pbox",20,"single",0,7
"4b94f79d","7000","pbox",1,"multiple",1,1
"4b94f79d","7000","pbox",2,"multiple",1,3
"4b94f79d","7000","pbox",3,"multiple",0,11
"4b94f79d","7000","pbox",4,"multiple",0,101
"4b94f79d","7000","pbox",5,"multiple",1,4
"4b94f79d","7000","pbox",6,"multiple",0,12
"4b94f79d","7000","pbox",7,"multiple",0,10
"4b94f79d","7000","pbox",8,"multiple",0,8
"4b94f79d","7000","pbox",9,"multiple",1,102
"4b94f79d","7000","pbox",10,"multiple",0,7
"4b94f79d","7000","pbox",11,"multiple",0,9
"4b94f79d","7000","pbox",12,"multiple",1,2
"4b94f79d","7000","pbox",13,"multiple",1,6
"4b94f79d","7000","pbox",14,"multiple",1,5
"24823e64","1000","pbox",1,"single",0,15
"24823e64","1000","pbox",2,"single",0,14
"24823e64","1000","pbox",3,"single",0,12
"24823e64","1000","pbox",4,"single",0,13
"24823e64","1000","pbox",5,"single",0,101
"24823e64","1000","pbox",6,"single",0,8
"24823e64","1000","pbox",7,"single",1,2
"24823e64","1000","pbox",8,"single",1,3
"24823e64","1000","pbox",9,"single",1,1
"24823e64","1000","pbox",10,"single",1,102
"24823e64","1000","pbox",11,"single",1,7
"24823e64","1000","pbox",12,"single",0,10
"24823e64","1000","pbox",13,"single",0,9
"24823e64","1000","pbox",14,"single",0,18
"24823e64","1000","pbox",15,"single",1,6
"24823e64","1000","pbox",16,"single",0,17
"24823e64","1000","pbox",17,"single",0,16
"24823e64","1000","pbox",18,"single",1,5
"24823e64","1000","pbox",19,"single",1,4
"24823e64","1000","pbox",20,"single",0,11
"24823e64","1000","pbox",1,"multiple",1,2
"24823e64","1000","pbox",2,"multiple",1,1
"24823e64","1000","pbox",3,"multiple",0,8
"24823e64","1000","pbox",4,"multiple",1,5
"24823e64","1000","pbox",5,"multiple",0,12
"24823e64","1000","pbox",6,"multiple",0,6
"24823e64","1000","pbox",7,"multiple",0,101
"24823e64","1000","pbox",8,"multiple",0,10
"24823e64","1000","pbox",9,"multiple",0,9
"24823e64","1000","pbox",10,"multiple",1,102
"24823e64","1000","pbox",11,"multiple",0,11
"24823e64","1000","pbox",12,"multiple",1,4
"24823e64","1000","pbox",13,"multiple",1,3
"24823e64","1000","pbox",14,"multiple",0,7
"2e14d4df","0","ensembles",1,"single",0,17
"2e14d4df","0","ensembles",2,"single",0,10
"2e14d4df","0","ensembles",3,"single",0,5
"2e14d4df","0","ensembles",4,"single",0,15
"2e14d4df","0","ensembles",5,"single",0,101
"2e14d4df","0","ensembles",6,"single",0,6
"2e14d4df","0","ensembles",7,"single",1,1
"2e14d4df","0","ensembles",8,"single",1,4
"2e14d4df","0","ensembles",9,"single",1,102
"2e14d4df","0","ensembles",10,"single",0,12
"2e14d4df","0","ensembles",11,"single",0,14
"2e14d4df","0","ensembles",12,"single",0,16
"2e14d4df","0","ensembles",13,"single",0,9
"2e14d4df","0","ensembles",14,"single",0,7
"2e14d4df","0","ensembles",15,"single",0,13
"2e14d4df","0","ensembles",16,"single",1,3
"2e14d4df","0","ensembles",17,"single",0,2
"2e14d4df","0","ensembles",18,"single",0,18
